X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9701575891098,40.7730973282423,10G-PM-1017-06,10G,PM,10172018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9701575891098 40.7730973282423)
-73.9529060669193,40.7927909735388,37I-AM-1010-01,37I,AM,10102018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9529060669193 40.7927909735388)
-73.9547336666137,40.7938937756332,37G-PM-1007-07,37G,PM,10072018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,5,,true,false,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9547336666137 40.7938937756332)
-73.9691433356733,40.7731708333242,11G-AM-1012-01,11G,AM,10122018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9691433356733 40.77317083332421)
-73.9720907384613,40.7762987836055,13C-PM-1019-01,13C,PM,10192018,1,Adult,Gray,,Gray+,,Above Ground,7,,false,false,true,false,false,,true,false,false,false,false,false,true,false,,POINT (-73.9720907384613 40.7762987836055)
-73.9709281471442,40.7828097939777,20A-AM-1010-02,20A,AM,10102018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9709281471442 40.7828097939777)
-73.9731113265165,40.7786640676355,15A-PM-1017-01,15A,PM,10172018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,10,,false,false,true,true,false,eating in tree,false,false,false,false,false,false,true,false,,POINT (-73.9731113265165 40.7786640676355)
-73.9684254196866,40.77809016436,16E-AM-1014-02,16E,AM,10142018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,true,false,false,,POINT (-73.9684254196866 40.77809016436)
-73.9560679864426,40.7947887062326,37E-PM-1006-06,37E,PM,10062018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,false,true,false,,POINT (-73.9560679864426 40.7947887062326)
-73.9679661308374,40.7837388390673,22C-AM-1013-01,22C,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,false,false,false,false,false,"sitting still,tail over back",false,false,false,false,false,false,false,false,,POINT (-73.9679661308374 40.7837388390673)
